iter	Passed	Remaining
434	958	1244
435	959	1241
436	961	1238
437	969	1243
438	970	1240
439	972	1237
440	973	1233
441	974	1230
442	977	1228
443	979	1226
444	981	1224
445	983	1221
446	984	1218
447	991	1221
448	993	1219
449	995	1216
450	999	1216
451	1001	1214
452	1003	1211
453	1005	1209
454	1007	1206
455	1008	1203
456	1010	1200
457	1019	1206
458	1024	1207
459	1025	1204
460	1031	1205
461	1033	1203
462	1035	1200
463	1036	1197
464	1038	1194
465	1040	1191
466	1041	1188
467	1045	1188
468	1047	1186
469	1050	1184
470	1052	1181
471	1053	1178
472	1070	1192
473	1071	1189
474	1073	1186
475	1080	1189
476	1082	1186
477	1083	1183
478	1085	1181
479	1087	1178
480	1089	1175
481	1097	1179
482	1099	1176
483	1100	1173
484	1102	1170
485	1104	1167
486	1114	1174
487	1120	1175
488	1134	1185
489	1136	1182
490	1140	1182
491	1142	1179
492	1144	1176
493	1146	1173
494	1148	1171
495	1149	1168
496	1151	1165
497	1159	1168
498	1160	1165
499	1162	1162
500	1164	1159
501	1165	1156
502	1167	1153
503	1178	1160
504	1180	1157
505	1182	1154
506	1183	1151
507	1190	1153
508	1192	1150
509	1194	1147
510	1195	1144
511	1197	1141
512	1199	1138
513	1207	1141
514	1208	1138
515	1212	1137
516	1214	1134
517	1221	1136
518	1222	1133
519	1224	1130
520	1225	1127
521	1230	1126
522	1234	1125
523	1236	1123
524	1238	1120
525	1239	1117
526	1241	1114
527	1243	1111
528	1245	1108
529	1252	1110
530	1261	1114
531	1267	1115
532	1269	1112
533	1270	1108
534	1272	1106
535	1274	1103
536	1276	1100
537	1280	1099
538	1283	1097
539	1288	1097
540	1291	1095
541	1295	1094
542	1298	1092
543	1319	1105
544	1329	1109
545	1331	1106
546	1332	1103
547	1334	1100
548	1336	1097
549	1344	1100
550	1346	1097
551	1348	1094
552	1350	1091
553	1351	1088
554	1353	1085
555	1361	1087
556	1366	1086
557	1368	1083
558	1375	1085
559	1380	1084
560	1382	1081
561	1384	1078
562	1386	1075
563	1388	1073
564	1391	1071
565	1398	1072
566	1400	1069
567	1402	1066
568	1403	1063
569	1405	1060
570	1406	1057
571	1411	1056
572	1413	1053
573	1415	1050
574	1416	1047
575	1418	1043
576	1419	1040
577	1423	1039
578	1425	1036
579	1427	1033
580	1428	1030
581	1475	1059
582	1477	1057
583	1479	1054
584	1485	1053
585	1487	1051
586	1489	1047
587	1491	1044
588	1536	1072
589	1538	1069
590	1540	1065
591	1541	1062
592	1543	1059
593	1549	1058
594	1551	1055
595	1552	1052
596	1554	1049
597	1555	1045
598	1557	1042
599	1558	1039
600	1566	1039
601	1568	1036
602	1569	1033
603	1591	1043
604	1593	1040
605	1595	1037
606	1596	1033
607	1598	1030
608	1599	1027
609	1601	1023
610	1602	1020
611	1604	1017
612	1606	1013
613	1607	1010
614	1611	1008
615	1613	1005
616	1614	1002
617	1616	999
618	1618	996
619	1620	993
620	1621	989
621	1677	1019
622	1679	1016
623	1680	1012
624	1682	1009
625	1684	1006
626	1685	1002
627	1687	999
628	1694	999
629	1697	996
630	1710	1000
631	1712	997
632	1714	993
633	1715	990
634	1726	992
635	1728	989
636	1729	985
637	1776	1008
638	1778	1004
639	1780	1001
640	1782	998
641	1783	994
642	1790	994
643	1792	991
644	1794	987
645	1796	984
646	1841	1004
647	1874	1018
648	1876	1015
649	1878	1011
650	1886	1011
651	1888	1007
652	1890	1004
653	1891	1000
654	1893	997
655	1895	994
656	1902	993
657	1904	989
658	1906	986
659	1907	982
660	1909	979
661	1917	979
662	1922	977
663	1924	973
664	1936	975
665	1938	971
666	1939	968
667	1941	965
668	1947	963
669	1949	960
670	1951	956
671	1958	956
672	1965	955
673	1968	951
674	1971	949
675	1972	945
676	1977	943
677	1980	940
678	1982	937
679	1987	935
680	1989	931
681	1994	930
682	1996	926
683	1998	923
684	2000	919
685	2002	916
686	2005	913
687	2012	912
688	2014	909
689	2015	905
690	2017	902
691	2018	898
692	2020	895
693	2026	893
694	2027	889
695	2029	886
696	2041	887
697	2042	883
698	2044	880
699	2045	876
700	2047	873
701	2049	869
702	2051	866
703	2056	864
704	2058	861
705	2060	857
706	2061	854
707	2063	851
708	2065	847
709	2066	844
710	2071	841
711	2073	838
712	2075	835
713	2079	832
714	2080	829
715	2083	826
716	2084	822
717	2086	819
718	2090	816
719	2092	813
720	2093	810
721	2094	806
722	2105	806
723	2107	803
724	2109	800
725	2110	796
726	2118	795
727	2119	792
728	2121	788
729	2122	785
730	2124	781
731	2129	779
732	2131	776
733	2132	772
734	2133	769
735	2135	765
736	2136	762
737	2137	758
738	2138	755
739	2140	751
740	2145	750
741	2147	746
742	2148	743
743	2149	739
744	2151	736
745	2153	733
746	2154	729
747	2156	726
748	2163	724
749	2165	721
750	2166	718
751	2167	714
752	2168	711
753	2170	708
754	2171	704
755	2175	702
756	2177	698
757	2179	695
758	2180	692
759	2182	689
760	2183	685
761	2185	682
762	2193	681
763	2194	678
764	2196	674
765	2198	671
766	2199	668
767	2200	664
768	2205	662
769	2208	659
770	2209	656
771	2211	653
772	2213	649
773	2214	646
774	2216	643
775	2222	641
776	2224	638
777	2226	635
778	2228	632
779	2230	629
780	2231	625
781	2238	623
782	2239	620
783	2240	617
784	2241	613
785	2242	610
786	2244	607
787	2246	604
788	2247	601
789	2253	598
790	2254	595
791	2256	592
792	2257	589
793	2259	586
794	2260	582
795	2262	579
796	2267	577
797	2269	574
798	2270	571
799	2271	567
800	2272	564
801	2273	561
802	2275	558
803	2276	554
804	2278	551
805	2280	548
806	2282	545
807	2283	542
808	2285	539
809	2287	536
810	2289	533
811	2297	531
812	2299	528
813	2301	525
814	2302	522
815	2303	519
816	2304	516
817	2308	513
818	2309	510
819	2311	507
820	2313	504
821	2315	501
822	2317	498
823	2318	495
824	2320	492
825	2326	490
826	2328	487
827	2329	483
828	2331	480
829	2333	477
830	2334	474
831	2335	471
832	2340	469
833	2343	466
834	2344	463
835	2345	460
836	2347	457
837	2348	453
838	2349	450
839	2357	449
840	2358	445
841	2360	442
842	2361	439
843	2362	436
844	2363	433
845	2365	430
846	2366	427
847	2373	425
848	2374	422
849	2376	419
850	2378	416
851	2379	413
852	2382	410
853	2387	408
854	2389	405
855	2390	402
856	2392	399
857	2393	396
858	2394	393
859	2395	390
860	2397	386
861	2401	384
862	2402	381
863	2403	378
864	2404	375
865	2407	372
866	2408	369
867	2409	366
868	2410	363
869	2411	360
870	2417	358
871	2418	355
872	2419	352
873	2421	349
874	2422	346
875	2424	343
876	2425	340
877	2427	337
878	2432	334
879	2433	331
880	2435	328
881	2436	325
882	2437	323
883	2438	320
884	2440	317
885	2441	314
886	2443	311
887	2444	308
888	2445	305
889	2447	302
890	2449	299
891	2450	296
892	2451	293
893	2452	290
894	2453	287
895	2455	284
896	2460	282
897	2462	279
898	2464	276
899	2465	273
900	2467	271
901	2469	268
902	2470	265
903	2476	262
904	2478	260
905	2480	257
906	2481	254
907	2483	251
908	2484	248
909	2485	245
910	2489	243
911	2490	240
912	2492	237
913	2493	234
914	2494	231
915	2495	228
916	2497	226
917	2498	223
918	2499	220
919	2500	217
920	2506	214
921	2507	212
922	2509	209
923	2510	206
924	2511	203
925	2513	200
926	2514	198
927	2515	195
928	2521	192
929	2523	189
930	2524	187
931	2525	184
932	2526	181
933	2528	178
934	2529	175
935	2531	173
936	2536	170
937	2537	167
938	2539	164
939	2540	162
940	2541	159
941	2542	156
942	2544	153
943	2545	151
944	2547	148
945	2548	145
946	2550	142
947	2552	139
948	2553	137
949	2563	134
950	2565	132
951	2566	129
952	2567	126
953	2569	123
954	2570	121
955	2572	118
956	2573	115
957	2577	112
958	2578	110
959	2579	107
960	2581	104
961	2582	102
962	2584	99
963	2585	96
964	2586	93
965	2587	91
966	2593	88
967	2594	85
968	2595	83
969	2597	80
970	2599	77
971	2600	74
972	2602	72
973	2603	69
974	2608	66
975	2609	64
976	2611	61
977	2612	58
978	2614	56
979	2615	53
980	2616	50
981	2618	48
982	2622	45
983	2623	42
984	2625	39
985	2626	37
986	2627	34
987	2629	31
988	2630	29
989	2631	26
990	2632	23
991	2638	21
992	2640	18
993	2641	15
994	2643	13
995	2644	10
996	2646	7
997	2647	5
998	2648	2
999	2655	0
